,forecast
2025-09-01,2367.021484375
2025-09-02,2367.1416015625
2025-09-03,2351.08544921875
2025-09-04,2282.774658203125
2025-09-05,2277.655517578125
2025-09-08,2275.4326171875
2025-09-09,2275.024169921875
2025-09-10,2264.526611328125
2025-09-11,2264.10107421875
2025-09-12,2263.68603515625
2025-09-15,2264.061767578125
2025-09-16,2264.0908203125
2025-09-17,2265.095703125
2025-09-18,2265.036376953125
2025-09-19,2265.47216796875
2025-09-22,2265.044677734375
2025-09-23,2265.47216796875
2025-09-24,2264.876708984375
2025-09-25,2265.874267578125
2025-09-26,2264.876708984375
2025-09-29,2265.8837890625
2025-09-30,2264.876708984375
2025-10-01,2265.874267578125
2025-10-02,2264.876708984375
2025-10-03,2265.8837890625
2025-10-06,2264.876708984375
2025-10-07,2265.8837890625
2025-10-08,2264.88623046875
2025-10-09,2266.706787109375
2025-10-10,2264.88623046875
2025-10-13,2267.54345703125
2025-10-14,2264.876953125
2025-10-15,2267.771484375
2025-10-16,2264.466796875
2025-10-17,2267.771484375
2025-10-20,2263.90771484375
2025-10-21,2267.77099609375
2025-10-22,2263.915771484375
2025-10-23,2267.781494140625
2025-10-24,2263.91015625
2025-10-27,2267.40234375
2025-10-28,2263.91015625
2025-10-29,2266.541015625
2025-10-30,2263.91015625
2025-10-31,2266.114990234375
2025-11-03,2263.910400390625
2025-11-04,2265.882568359375
2025-11-05,2263.910400390625
2025-11-06,2265.882568359375
2025-11-07,2263.948486328125
2025-11-10,2265.882568359375
2025-11-11,2263.9384765625
2025-11-12,2265.882568359375
2025-11-13,2263.931396484375
2025-11-14,2265.882568359375
2025-11-17,2263.931396484375
2025-11-18,2265.882568359375
2025-11-19,2263.931396484375
2025-11-20,2265.889892578125
2025-11-21,2263.931396484375
2025-11-24,2265.8984375
2025-11-25,2263.931396484375
2025-11-26,2265.897216796875
2025-11-27,2263.921875
2025-11-28,2265.91357421875
2025-12-01,2263.905517578125
2025-12-02,2266.7265625
2025-12-03,2263.91357421875
2025-12-04,2268.607666015625
2025-12-05,2263.924072265625
2025-12-08,2268.71240234375
2025-12-09,2264.936767578125
2025-12-10,2269.078369140625
2025-12-11,2265.90576171875
2025-12-12,2269.09033203125
2025-12-15,2265.920166015625
2025-12-16,2268.997802734375
2025-12-17,2265.92236328125
2025-12-18,2268.618896484375
2025-12-19,2265.9208984375
2025-12-22,2268.1005859375
2025-12-23,2265.921142578125
2025-12-24,2267.401123046875
2025-12-25,2265.92138671875
2025-12-26,2267.38232421875
2025-12-29,2265.91162109375
2025-12-30,2267.3681640625
2025-12-31,2265.91162109375
2026-01-01,2267.3681640625
2026-01-02,2265.50146484375
2026-01-05,2267.3681640625
2026-01-06,2264.92529296875
2026-01-07,2267.3681640625
2026-01-08,2264.933349609375
2026-01-09,2267.389892578125
2026-01-12,2264.933349609375
2026-01-13,2267.411376953125
2026-01-14,2264.933349609375
2026-01-15,2267.42529296875
2026-01-16,2264.92529296875
2026-01-19,2267.424072265625
2026-01-20,2264.925537109375
2026-01-21,2267.426025390625
2026-01-22,2265.3544921875
2026-01-23,2267.426025390625
2026-01-26,2265.404296875
2026-01-27,2267.426025390625
2026-01-28,2265.942138671875
2026-01-29,2267.426025390625
2026-01-30,2266.36181640625
2026-02-02,2267.42138671875
2026-02-03,2266.3857421875
2026-02-04,2267.419189453125
2026-02-05,2266.38427734375
2026-02-06,2267.419189453125
2026-02-09,2266.361572265625
2026-02-10,2267.419189453125
2026-02-11,2266.361572265625
2026-02-12,2267.419189453125
2026-02-13,2266.361572265625
2026-02-16,2267.419189453125
2026-02-17,2266.35205078125
2026-02-18,2267.419189453125
2026-02-19,2265.94189453125
2026-02-20,2267.419189453125
2026-02-23,2265.365966796875
